iter	Passed	Remaining
0	1	144
1	2	108
2	3	97
3	3	85
4	4	81
5	4	77
6	5	75
7	6	77
8	7	78
9	8	76
10	9	74
11	9	73
12	10	72
13	11	70
14	12	69
15	13	69
16	14	69
17	14	68
18	15	66
19	16	65
20	17	64
21	17	63
22	18	61
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	22	56
29	23	54
30	24	53
31	24	52
32	25	52
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	38
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	57	21
73	58	20
74	59	19
75	60	18
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	65	14
82	66	13
83	67	12
84	68	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	77	5
93	79	5
94	81	4
95	83	3
96	85	2
97	87	1
98	90	0
99	91	0
