iter	Passed	Remaining
0	46	46751
1	47	23497
2	47	15745
3	47	11915
4	48	9586
5	48	8024
6	48	6912
7	48	6075
8	49	5425
9	49	4902
10	49	4475
11	50	4117
12	50	3829
13	50	3572
14	50	3347
15	51	3160
16	51	2991
17	51	2835
18	52	2697
19	52	2573
20	52	2462
21	53	2360
22	53	2268
23	53	2183
24	53	2105
25	54	2032
26	54	1965
27	54	1905
28	55	1847
29	55	1793
30	55	1742
31	56	1694
32	56	1650
33	56	1608
34	56	1568
35	57	1530
36	57	1494
37	57	1460
38	57	1427
39	58	1396
40	58	1367
41	58	1339
42	59	1313
43	59	1287
44	59	1263
45	59	1240
46	60	1218
47	60	1196
48	60	1176
49	60	1156
50	61	1137
51	61	1120
52	61	1102
53	62	1086
54	62	1070
55	62	1054
56	62	1039
57	63	1024
58	63	1010
59	63	997
60	63	984
61	64	971
62	64	958
63	64	946
64	65	936
65	65	926
66	65	915
67	66	904
68	66	895
69	66	885
70	66	875
71	67	866
72	67	857
73	67	848
74	68	839
75	68	830
76	68	821
77	69	816
78	69	808
79	69	800
80	69	792
81	70	785
82	70	776
83	70	769
84	70	762
85	71	756
86	71	749
87	71	742
88	71	736
89	72	730
90	72	724
91	72	717
92	72	711
93	73	706
94	73	700
95	73	694
96	74	689
97	74	683
98	74	678
99	74	673
100	75	668
101	75	663
102	75	658
103	76	655
104	76	650
105	76	645
106	76	641
107	77	636
108	77	632
109	77	627
110	77	623
111	78	618
112	78	614
113	78	610
114	78	606
115	79	602
116	79	598
117	79	594
118	79	590
119	80	586
120	80	583
121	80	579
122	80	575
123	81	572
124	81	569
125	81	565
126	81	562
127	82	559
128	82	556
129	82	552
130	82	549
131	83	546
132	83	543
133	83	540
134	83	537
135	84	534
136	84	532
137	84	529
138	84	526
139	85	523
140	85	520
141	85	517
142	85	514
143	86	511
144	86	508
145	86	506
146	86	503
147	87	501
148	87	498
149	87	496
150	87	493
151	88	492
152	88	489
153	88	487
154	88	484
155	89	482
156	89	479
157	89	477
158	89	475
159	90	472
160	90	470
161	90	467
162	90	465
163	90	463
164	91	461
165	91	459
166	91	458
167	92	456
168	92	453
169	92	451
170	92	449
171	93	447
172	93	445
173	93	443
174	93	441
175	93	440
176	94	438
177	94	436
178	94	434
179	94	432
180	95	430
181	95	429
182	95	428
183	96	426
184	96	424
185	96	423
186	96	421
187	97	420
188	97	418
189	97	417
190	98	415
191	98	414
192	98	412
193	99	411
194	99	410
195	99	408
196	99	407
197	100	406
198	100	404
199	100	403
200	101	401
201	101	400
202	101	398
203	101	397
204	102	395
205	102	394
206	102	392
207	102	391
208	103	390
209	103	389
210	103	388
211	104	386
212	104	385
213	104	384
214	104	382
215	105	381
216	105	379
217	105	378
218	105	377
219	106	375
220	106	375
221	106	373
222	106	372
223	107	371
224	107	370
225	107	369
226	108	367
227	108	366
228	108	365
229	108	364
230	109	362
231	109	361
232	109	360
233	109	359
234	110	358
235	110	357
236	110	357
237	111	355
238	111	354
239	111	353
240	111	352
241	112	351
242	112	350
243	112	349
244	113	348
245	113	347
246	113	346
247	113	345
248	114	345
249	114	343
250	114	342
251	115	341
252	115	340
253	115	339
254	115	338
255	116	337
256	116	336
257	116	336
258	117	335
259	117	334
260	117	333
261	117	332
262	118	331
263	118	330
264	118	329
265	118	328
266	119	327
267	119	326
268	119	325
269	119	324
270	120	323
271	120	322
272	120	321
273	120	320
274	121	319
275	121	318
276	121	317
277	121	316
278	122	316
279	122	315
280	122	314
281	123	313
282	123	312
283	123	311
284	123	310
285	124	309
286	124	309
287	124	308
288	124	307
289	125	306
290	125	305
291	125	304
292	126	304
293	126	303
294	126	303
295	127	302
296	127	301
297	127	300
298	127	299
299	128	298
300	128	298
301	128	297
302	128	296
303	129	295
304	129	295
305	129	294
306	130	293
307	130	293
308	130	292
309	130	291
310	131	290
311	131	289
312	131	289
313	132	288
314	132	287
315	132	287
316	132	286
317	133	286
318	133	285
319	133	284
320	134	284
321	134	283
322	134	282
323	135	282
324	135	281
325	135	280
326	136	280
327	136	279
328	136	279
329	137	278
330	137	277
331	137	276
332	137	276
333	138	275
334	138	274
335	138	273
336	138	273
337	139	272
338	139	271
339	139	270
340	139	270
341	140	269
342	140	268
343	140	268
344	140	267
345	141	266
346	141	266
347	141	265
348	142	265
349	142	264
350	142	263
351	142	263
352	143	262
353	143	261
354	143	261
355	144	260
356	144	259
357	144	259
358	144	258
359	145	257
360	145	257
361	145	256
362	145	256
363	146	255
364	146	254
365	146	254
366	146	253
367	147	252
368	147	252
369	147	251
370	148	251
371	148	250
372	148	250
373	149	249
374	149	248
375	149	248
376	149	247
377	150	246
378	150	246
379	150	245
380	150	244
381	151	244
382	151	243
383	151	243
384	151	242
385	152	241
386	152	241
387	152	240
388	152	240
389	153	239
390	153	238
391	153	238
392	153	237
393	153	236
394	154	236
395	154	235
396	154	235
397	155	234
398	155	233
399	155	233
400	155	232
401	156	232
402	156	232
403	157	232
404	157	231
405	157	230
406	158	230
407	158	229
408	158	229
409	158	228
410	159	228
411	159	227
412	159	227
413	159	226
414	160	225
415	160	225
416	160	224
417	161	224
418	161	223
419	161	223
420	161	222
421	162	222
422	162	221
423	162	221
424	162	220
425	163	219
426	163	219
427	163	218
428	164	218
429	164	217
430	164	217
431	164	216
432	165	216
433	165	215
434	165	215
435	166	214
436	166	214
437	166	213
438	167	213
439	167	213
440	167	212
441	168	212
442	168	211
443	168	211
444	168	210
445	169	210
446	169	209
447	169	209
448	170	208
449	170	208
450	170	207
451	170	207
452	171	206
453	171	206
454	171	205
455	172	205
456	172	204
457	172	204
458	172	203
459	173	203
460	173	202
461	173	202
462	173	201
463	174	201
464	174	200
465	174	200
466	175	199
467	175	199
468	175	198
469	175	198
470	176	197
471	176	197
472	176	196
473	176	196
474	177	195
475	177	195
476	177	194
477	177	194
478	178	193
479	178	193
480	178	192
481	178	192
482	179	191
483	179	191
484	179	190
485	180	190
486	180	189
487	180	189
488	180	188
489	181	188
490	181	188
491	181	187
492	181	187
493	182	186
494	182	186
495	182	185
496	182	185
497	183	184
498	183	184
499	183	183
500	184	183
501	184	182
502	184	182
503	184	182
504	185	181
505	185	181
506	185	180
507	185	180
508	186	179
509	186	179
510	186	178
511	186	178
512	187	177
513	187	177
514	187	176
515	188	176
516	188	175
517	188	175
518	188	175
519	189	174
520	189	174
521	189	173
522	190	173
523	190	172
524	190	172
525	190	172
526	191	171
527	191	171
528	191	170
529	191	170
530	192	169
531	192	169
532	192	168
533	193	168
534	193	168
535	193	167
536	193	167
537	194	166
538	194	166
539	194	165
540	194	165
541	195	164
542	195	164
543	195	163
544	195	163
545	195	162
546	196	162
547	196	162
548	196	161
549	196	161
550	197	160
551	197	160
552	197	159
553	197	159
554	198	159
555	198	158
556	199	158
557	199	157
558	199	157
559	199	156
560	199	156
561	200	156
562	200	155
563	200	155
564	200	154
565	201	154
566	201	153
567	201	153
568	201	152
569	202	152
570	202	152
571	202	151
572	203	151
573	203	151
574	203	150
575	204	150
576	204	149
577	204	149
578	204	148
579	205	148
580	205	148
581	205	147
582	205	147
583	206	146
584	206	146
585	206	145
586	206	145
587	207	145
588	207	144
589	207	144
590	207	143
591	208	143
592	208	142
593	208	142
594	208	142
595	209	141
596	209	141
597	209	140
598	209	140
599	210	140
600	210	139
601	210	139
602	210	138
603	211	138
604	211	138
605	211	137
606	211	137
607	212	136
608	212	136
609	212	136
610	213	135
611	213	135
612	213	134
613	213	134
614	214	134
615	214	133
616	214	133
617	214	132
618	215	132
619	215	131
620	215	131
621	215	131
622	215	130
623	216	130
624	216	129
625	216	129
626	217	129
627	217	128
628	217	128
629	217	127
630	218	127
631	218	127
632	218	126
633	218	126
634	219	125
635	219	125
636	219	125
637	219	124
638	220	124
639	220	124
640	220	123
641	220	123
642	221	123
643	222	122
644	222	122
645	222	122
646	222	121
647	223	121
648	223	120
649	223	120
650	223	120
651	224	119
652	224	119
653	224	118
654	224	118
655	225	118
656	225	117
657	225	117
658	225	116
659	226	116
660	226	116
661	226	115
662	226	115
663	227	114
664	227	114
665	227	114
666	227	113
667	228	113
668	228	113
669	228	112
670	228	112
671	229	111
672	229	111
673	229	111
674	229	110
675	230	110
676	230	109
677	230	109
678	231	109
679	231	109
680	232	108
681	232	108
682	232	108
683	233	107
684	233	107
685	233	107
686	234	106
687	235	107
688	236	106
689	236	106
690	236	105
691	237	105
692	237	105
693	237	104
694	237	104
695	238	104
696	238	103
697	238	103
698	238	102
699	239	102
700	239	102
701	239	101
702	239	101
703	240	100
704	240	100
705	240	100
706	240	99
707	241	99
708	241	99
709	242	99
710	242	98
711	243	98
712	243	97
713	243	97
714	244	97
715	244	96
716	244	96
717	244	96
718	245	95
719	245	95
720	245	95
721	245	94
722	246	94
723	246	93
724	246	93
725	246	93
726	247	92
727	247	92
728	247	92
729	248	91
730	248	91
731	248	91
732	249	90
733	249	90
734	249	89
735	249	89
736	250	89
737	250	88
738	250	88
739	250	88
740	251	87
741	251	87
742	251	87
743	252	86
744	252	86
745	252	86
746	252	85
747	253	85
748	253	84
749	253	84
750	253	84
751	254	83
752	254	83
753	254	83
754	254	82
755	255	82
756	255	81
757	255	81
758	255	81
759	256	80
760	256	80
761	256	80
762	256	79
763	257	79
764	257	79
765	257	78
766	257	78
767	258	77
768	258	77
769	258	77
770	258	76
771	259	76
772	259	76
773	259	75
774	259	75
775	260	75
776	260	74
777	260	74
778	260	73
779	261	73
780	261	73
781	261	72
782	261	72
783	261	72
784	262	71
785	262	71
786	262	71
787	263	70
788	263	70
789	263	70
790	264	69
791	264	69
792	264	69
793	264	68
794	265	68
795	265	68
796	265	67
797	266	67
798	266	67
799	266	66
800	267	66
801	267	65
802	267	65
803	267	65
804	268	64
805	268	64
806	268	64
807	268	63
808	269	63
809	269	63
810	269	62
811	270	62
812	270	62
813	270	61
814	270	61
815	271	61
816	271	60
817	271	60
818	271	60
819	272	59
820	272	59
821	272	59
822	272	58
823	273	58
824	273	57
825	273	57
826	273	57
827	274	56
828	274	56
829	274	56
830	275	55
831	275	55
832	275	55
833	275	54
834	276	54
835	276	54
836	276	53
837	276	53
838	277	53
839	277	52
840	277	52
841	280	52
842	280	52
843	280	51
844	280	51
845	281	51
846	281	50
847	282	50
848	282	50
849	282	49
850	283	49
851	283	49
852	283	48
853	284	48
854	284	48
855	284	47
856	284	47
857	284	47
858	285	46
859	285	46
860	285	46
861	286	45
862	286	45
863	286	45
864	286	44
865	287	44
866	287	44
867	287	43
868	287	43
869	288	43
870	288	42
871	288	42
872	289	42
873	289	41
874	289	41
875	289	41
876	290	40
877	290	40
878	290	39
879	290	39
880	290	39
881	291	38
882	291	38
883	291	38
884	291	37
885	292	37
886	292	37
887	292	36
888	293	36
889	293	36
890	294	35
891	296	35
892	297	35
893	297	35
894	297	34
895	298	34
896	298	34
897	298	33
898	298	33
899	299	33
900	299	32
901	299	32
902	300	32
903	300	31
904	300	31
905	300	31
906	301	30
907	301	30
908	301	30
909	302	29
910	302	29
911	302	29
912	302	28
913	303	28
914	303	28
915	303	27
916	303	27
917	304	27
918	304	26
919	304	26
920	304	26
921	305	25
922	305	25
923	305	25
924	305	24
925	306	24
926	306	24
927	306	23
928	306	23
929	307	23
930	307	22
931	307	22
932	307	22
933	308	21
934	308	21
935	308	21
936	309	20
937	309	20
938	309	20
939	310	19
940	310	19
941	310	19
942	311	18
943	311	18
944	311	18
945	312	17
946	312	17
947	312	17
948	312	16
949	313	16
950	313	16
951	313	15
952	314	15
953	314	15
954	314	14
955	315	14
956	315	14
957	315	13
958	315	13
959	316	13
960	316	12
961	316	12
962	317	12
963	317	11
964	317	11
965	317	11
966	318	10
967	318	10
968	318	10
969	318	9
970	319	9
971	319	9
972	319	8
973	319	8
974	320	8
975	320	7
976	320	7
977	320	7
978	321	6
979	321	6
980	321	6
981	321	5
982	322	5
983	322	5
984	322	4
985	322	4
986	323	4
987	323	3
988	323	3
989	324	3
990	324	2
991	324	2
992	324	2
993	325	1
994	325	1
995	325	1
996	326	0
997	326	0
998	327	0
999	327	0
